feature,data_dependency,status,companies_covered,total_companies,coverage_pct,blocker,safe_to_enable,notes
52-week high display,company_metrics_daily.week52_high,validated,118,119,99.2,Ticker 4168 missing from Yahoo,yes,Use company_metrics_daily table
52-week low display,company_metrics_daily.week52_low,validated,118,119,99.2,Ticker 4168 missing from Yahoo,yes,Use company_metrics_daily table
52-week range bar,company_metrics_daily (close vs high/low),validated,118,119,99.2,Same as above,yes,Compute position_in_range_pct from close_price/week52_high/week52_low
Price chart,stock_prices (exclude test_batch/test),validated,118,119,99.2,Only ticker 4168 missing (Yahoo cannot resolve),yes,1-year daily OHLCV backfill complete — 117 companies have 200+ trading days
Market cap,company_metrics_daily.market_cap,validated,118,119,99.2,Ticker 4168 missing,yes,Also available via companies.shares_outstanding * latest_close
P/E ratio,company_metrics_daily.pe_ratio,validated,95,119,79.8,24 companies have negative/near-zero earnings (NULL is correct),yes,NULL means negative earnings — show em dash not zero
P/B ratio,company_metrics_daily.pb_ratio,validated,116,119,97.5,3 companies have NULL book value,yes,financials.pb_ratio also available
EPS display,financials.earnings_per_share,validated,117,119,98.3,2 companies (4168 4264) have non-yahoo sources,yes,117 from yahoo_finance source
Book value per share,financials.book_value_per_share,validated,117,119,98.3,Same 2 companies,yes,117 from yahoo_finance source
Dividend yield,company_metrics_daily.dividend_yield,validated,84,119,70.6,35 companies show no yield (may not pay dividends),yes,NULL may mean non-dividend stock — show em dash
Current ratio,current_assets / current_liabilities,blocked,0,119,0.0,Neither field exists in financials table,no,Need balance sheet data from Saudi Exchange
Debt/Equity ratio,total_liabilities / total_equity,blocked,0,119,0.0,Both fields NULL for all rows,no,Need balance sheet data from Saudi Exchange
Operating cash flow,operating_cash_flow,blocked,0,119,0.0,Yahoo Finance does not return this for Saudi stocks,no,Need cash flow statement data
Free cash flow,free_cash_flow,blocked,0,119,0.0,Yahoo Finance does not return this for Saudi stocks,no,Need cash flow statement data
Dividend history chart,dividends table,partial,5,119,4.2,Only 5 companies in dividends table (84 have yield from Yahoo),no,Dividend table expansion needed for chart feature
Revenue trend chart,financials.revenue,unsafe,0,119,0.0,85/107 original rows are estimated source — not validated,no,Need validated revenue from official filings
Net income trend,financials.net_income,unsafe,0,119,0.0,Same source issue as revenue,no,Do not display estimated data as factual
SUQAI Score,multiple metrics,blocked,0,119,0.0,Depends on current_ratio + OCF which are still blocked,no,P/E and P/B now available but score needs all components
Sector heat map (performance),company_metrics_daily + market_cap weights,available,118,119,99.2,Full market cap weighting now possible,yes,Can show market-cap-weighted sector performance
Financial statements tab,financials (all fields),partial,117,119,98.3,Only EPS/book_value/PE/PB populated; balance sheet fields still NULL,no,Can show available fields but most balance sheet data missing
